Dataset,#TrainingRelease,%Training,%Defective_training,%Defective_testing,Classifier,Balancing,FeatureSelection,Sensitivity,TP,FP,TN,FN,Precision,Recall,ROC,Kappa
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,NO_RESAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,NO_RESAMPLING,BEST_FIRST,SENSITIVE_LEARNING,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,IBK,NO_RESAMPLING,BEST_FIRST,NO_SENSITIVE,2.0,2.0,546.0,0.0,0.5,1.0,0.9977189781021898,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,IBK,NO_RESAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,IBK,NO_RESAMPLING,BEST_FIRST,SENSITIVE_LEARNING,2.0,2.0,546.0,0.0,0.5,1.0,0.9977189781021898,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,NO_RESAMPLING,BEST_FIRST,NO_SENSITIVE,2.0,2.0,546.0,0.0,0.5,1.0,0.9986313868613139,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,NO_RESAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,NO_RESAMPLING,BEST_FIRST,SENSITIVE_LEARNING,2.0,2.0,546.0,0.0,0.5,1.0,0.9986313868613139,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,OVERSAMPLING,BEST_FIRST,NO_SENSITIVE,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,OVERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,OVERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,IBK,OVERSAMPLING,BEST_FIRST,NO_SENSITIVE,2.0,2.0,546.0,0.0,0.5,1.0,0.9977189781021898,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,IBK,OVERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,IBK,OVERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,2.0,2.0,546.0,0.0,0.5,1.0,0.9986313868613139,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,OVERSAMPLING,BEST_FIRST,NO_SENSITIVE,2.0,4.0,544.0,0.0,0.3333333333333333,1.0,0.9945255474452555,0.4972577696526481
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,OVERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,2.0,4.0,544.0,0.0,0.3333333333333333,1.0,0.9963503649635036,0.4972577696526481
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,OVERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,2.0,4.0,544.0,0.0,0.3333333333333333,1.0,0.9963503649635036,0.4972577696526481
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,UNDERSAMPLING,BEST_FIRST,NO_SENSITIVE,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,UNDERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,UNDERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,IBK,UNDERSAMPLING,BEST_FIRST,NO_SENSITIVE,2.0,4.0,544.0,0.0,0.3333333333333333,1.0,0.9963503649635036,0.4972577696526481
Syncope,1,49.954502,18.397085,0.36363637,IBK,UNDERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,2.0,4.0,544.0,0.0,0.3333333333333333,1.0,0.9963503649635036,0.4972577696526481
Syncope,1,49.954502,18.397085,0.36363637,IBK,UNDERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,2.0,2.0,546.0,0.0,0.5,1.0,0.9972627737226277,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,UNDERSAMPLING,BEST_FIRST,NO_SENSITIVE,2.0,4.0,544.0,0.0,0.3333333333333333,1.0,0.9945255474452555,0.4972577696526481
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,UNDERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,2.0,4.0,544.0,0.0,0.3333333333333333,1.0,0.9963503649635036,0.4972577696526481
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,UNDERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,2.0,4.0,544.0,0.0,0.3333333333333333,1.0,0.9968065693430657,0.4972577696526481
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,SMOTE,BEST_FIRST,NO_SENSITIVE,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,SMOTE,BEST_FIRST,SENSITIVE_THRESHOLD,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,RANDOM_FOREST,SMOTE,BEST_FIRST,SENSITIVE_LEARNING,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,IBK,SMOTE,BEST_FIRST,NO_SENSITIVE,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,IBK,SMOTE,BEST_FIRST,SENSITIVE_THRESHOLD,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,IBK,SMOTE,BEST_FIRST,SENSITIVE_LEARNING,2.0,2.0,546.0,0.0,0.5,1.0,0.9981751824817519,0.6650426309378802
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,SMOTE,BEST_FIRST,NO_SENSITIVE,2.0,4.0,544.0,0.0,0.3333333333333333,1.0,0.9981751824817519,0.4972577696526481
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,SMOTE,BEST_FIRST,SENSITIVE_THRESHOLD,2.0,4.0,544.0,0.0,0.3333333333333333,1.0,0.9963503649635036,0.4972577696526481
Syncope,1,49.954502,18.397085,0.36363637,NAIVE_BAYES,SMOTE,BEST_FIRST,SENSITIVE_LEARNING,2.0,4.0,544.0,0.0,0.3333333333333333,1.0,0.9972627737226277,0.4972577696526481
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,NO_RESAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,NO_RESAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,NO_RESAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,0.0,553.0,0.0,1.0,1.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,NO_RESAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,NO_RESAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,NO_RESAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,0.0,553.0,0.0,1.0,1.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,NO_RESAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,0.0,553.0,0.0,1.0,1.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,NO_RESAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,0.0,553.0,0.0,1.0,1.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,NO_RESAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,0.0,553.0,0.0,1.0,1.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,OVERSAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,OVERSAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,OVERSAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,OVERSAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,OVERSAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,OVERSAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,4.0,549.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,OVERSAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,OVERSAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,OVERSAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,UNDERSAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,UNDERSAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,UNDERSAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,UNDERSAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,5.0,548.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,UNDERSAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,5.0,548.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,UNDERSAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,4.0,549.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,UNDERSAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,UNDERSAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,UNDERSAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,SMOTE,NO_SELECTION,NO_SENSITIVE,0.0,0.0,553.0,0.0,1.0,1.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,SMOTE,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,0.0,553.0,0.0,1.0,1.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,SMOTE,NO_SELECTION,SENSITIVE_LEARNING,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,SMOTE,NO_SELECTION,NO_SENSITIVE,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,SMOTE,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,SMOTE,NO_SELECTION,SENSITIVE_LEARNING,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,SMOTE,NO_SELECTION,NO_SENSITIVE,0.0,2.0,551.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,SMOTE,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,2.0,551.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,SMOTE,NO_SELECTION,SENSITIVE_LEARNING,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,NO_RESAMPLING,BEST_FIRST,NO_SENSITIVE,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,NO_RESAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,NO_RESAMPLING,BEST_FIRST,SENSITIVE_LEARNING,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,NO_RESAMPLING,BEST_FIRST,NO_SENSITIVE,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,NO_RESAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,NO_RESAMPLING,BEST_FIRST,SENSITIVE_LEARNING,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,NO_RESAMPLING,BEST_FIRST,NO_SENSITIVE,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,NO_RESAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,NO_RESAMPLING,BEST_FIRST,SENSITIVE_LEARNING,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,OVERSAMPLING,BEST_FIRST,NO_SENSITIVE,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,OVERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,OVERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,OVERSAMPLING,BEST_FIRST,NO_SENSITIVE,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,OVERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,OVERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,OVERSAMPLING,BEST_FIRST,NO_SENSITIVE,0.0,3.0,550.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,OVERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,0.0,3.0,550.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,OVERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,0.0,3.0,550.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,UNDERSAMPLING,BEST_FIRST,NO_SENSITIVE,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,UNDERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,UNDERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,UNDERSAMPLING,BEST_FIRST,NO_SENSITIVE,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,UNDERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,IBK,UNDERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,UNDERSAMPLING,BEST_FIRST,NO_SENSITIVE,0.0,3.0,550.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,UNDERSAMPLING,BEST_FIRST,SENSITIVE_THRESHOLD,0.0,3.0,550.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,NAIVE_BAYES,UNDERSAMPLING,BEST_FIRST,SENSITIVE_LEARNING,0.0,3.0,550.0,0.0,0.0,0.0,0.0,0.0
Syncope,2,66.52542,9.372157,0.0,RANDOM_FOREST,SMOTE,BEST_FIRST,NO_SENSITIVE,0.0,1.0,552.0,0.0,0.0,0.0,0.0,0.0
